a,(an) 一
ROC,Err:509
room,"房間,室[C]"
rose,"薔薇花,玫瑰花[C]"
round,"圓的,圓形的;球形的"
rule,"規則,規定,章程,條例[C]"
ruler,統治者;管理者;支配者
run,"跑,奔"
sad,"悲哀的;令人悲痛的,可悲的"
safe,"安全的,無危險的,保險的[F][(+from)]"
salad,沙拉[U][C]
sale,"賣,出售[U][C]"
salt,鹽[U]
same,(通常與the連用)同一的[B]
sandwich,三明治
Saturday,星期六
save,"救,挽救[(+from)]"
say,"說,講,唸,誦"
school,學校[C][U]
sea,"海,海洋[U][the S]"
season,"季,季節"
seat,"座,座位[C]"
second,第二的;第二次的
see,"看見,看到[W][+(that)][+wh-][O3][O4][O7]"
seldom,"不常,很少;難得"
sell,"賣,銷售[O1][(+to/for)]"
send,"發送,寄[O1][O2][(+to)]"
senior high school,高中(美國9-12年級)
sentence,【文】句子[C]
September,九月
serious,嚴重的;危急的;令人擔心的
seven,七的;七個的
seventeen,十七[C]
seventh,"(與the連用)第七的,第七個的"
seventy,七十[C]
several,"幾個的,數個的[B]"
shall,"(用於第一人稱,表示將來)將,會"
shape,"形狀;樣子,外形[C][U]"
share,"一份,份兒;(分擔的)一部分[S][(+in/of)], 股份;股票[C][(+in)]"
she,"(her, hers, herself)(主格)她"
sheep,"羊,綿羊[C]"
ship,"船,艦"
shirt,襯衫;男式襯衫
shoe(s),鞋
shop,"【主英】商店,零售店[C]"
shopkeeper,"店主,商店經理[C]"
short,短的;矮的
should,"(shall的過去式,表示過去將來)將"
shoulder,"肩,肩膀[C]"
show,"顯示,露出[O4]"
shy,"怕羞的,羞怯的,靦腆的[(+of)]"
sick,"病的,有病的;病人的[R]"
side,邊;面;側;端
sidewalk,【美】人行道[C]
simple,"簡單的,簡易的,簡明的"
since,此後;從那時到現在
sing,"唱,唱歌"
singer,"歌唱家,歌手"
sir,"先生,閣下;老師;長官"
sister,"姐妹;姐姐,妹妹"
sit,"坐,坐著;就座[Q]"
six,六的;六個的
sixteen,十六[C]
sixth,"(與the連用)第六的,第六個的"
sixty,六十[C]
size,"尺寸,大小;多少[C][U]"
skirt,裙子;襯裙[C]
sky,"天,天空;太空[S1]"
sleep,"睡,睡覺"
slow,"慢的,緩緩的;遲緩的"
small,小的;小型的
smart,漂亮的;時髦的;瀟灑的
smell,"嗅,聞"
smile,微笑;笑[(+at)][+to-v]
smoke,煙[U]
snack,"快餐;小吃,點心"
snake,蛇
snow,雪[U]
so,"這麼,那麼;【口】多麼,非常"
sock(s),短襪
sofa,"沙發,長椅[C]"
some,"(修飾名詞的單數形)某一,某個"
someone,"(somebody)某人,有人"
something,某人;某事
sometimes,"有時,間或"
somewhere,在某處;到某處
son,兒子;養子;繼子
song,"歌,歌曲[C]"
soon,"不久,很快地"
sorry,感到難過的;感到可憐的[F][(+about/for)][+(that)][+to-v]
sound,"聲音,響聲;【物】聲[U][C]"
soup,湯[U][C]
south,南;南方[the S]
space,空間[U]
speak,"說話,講話"
special,"特別的,特殊的"
spell,用字母拼;拼寫
spend,"花(錢),花費[(+on/for)]"
spoon,"匙,湯匙"
sports,運動的;(指衣服等)適用於運動的
spring,"春季,春天[U][C]"
square,正方形;方形物;方塊
stand,"站立,站著"
star,"星,恆星;(日,月等)天體"
start,"出發,起程"
station,車站[C]
stay,停留;留下;暫住
steak,牛排;肉排;魚排[C][U]
still,"還,仍舊"
stomach,胃[C]
stop,"停止;中止,止住[+v-ing]"
store,貯存[(+up)]
story,故事;傳聞;敘述[C][(+about)]
strange,"奇怪的,奇妙的,不可思議的"
stranger,陌生人[(+to)]
street,"街,街道"
strong,"強壯的,強健的"
student,(大中學校的)學生
study,學習;研究;調查[U][P1]
stupid,"愚蠢的,笨的"
successful,成功的;結果圓滿的;勝利的[(+in)]
sugar,(食用)糖[U]
summer,夏天[U][C]
sun,太陽[the S]
Sunday,星期日
sunny,"陽光充足的;和煦的,暖和的"
supermarket,超級市場[C]
sure,"確信的,有把握的[Z][F][+(that)][+wh-][(+about/of)]"
surprise,"驚奇,詫異[U]"
surprised,感到驚訝的;出人意外的
sweater,毛線衣;(厚)運動衫[C]
sweet,甜的
swim,"游,游泳"
table,桌子;餐桌;檯[C]
Taiwan,臺灣
take,"拿,取;握,抱"
talk,講話;談話;演講[(+to/with/about)]
tall,身材高的;高大的
tape,"帶子,線帶;狹布條[C][U]"
taste,味覺[U]
taxi,計程車[C]
tea,茶;茶葉[U]
teach,"教,講授;訓練[O1][O2][O6][(+to)]"
teacher,"老師,教師[C]"
team,隊;組;班[G]
teenager,十幾歲的青少年
